Id,Designator,Footprint PCB ONLY,Quantity,Designation,Supplier (LINK),Price,,Total
11,"C10,C7,C3,C1,C2",Capacitor_0402,5,100nF,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525,0.0012,,0.006
12,J1,USB_C_HRO_TYPE-C-31-M-12,1,USB_C,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948,0.17,,0.17
13,U3,ESD_SOT-23-6,1,USBLC6-2SC6,https://jlcpcb.com/partdetail/2790619-USBLC62SC6/C2687116,0.0368,,0.0368
14,C8,Capacitor_0402,1,10nF,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923,0.0029,,0.0029
15,U1,Package_LQFP-48_7x7mm_P0.5,1,STM32F072CBT6,https://jlcpcb.com/partdetail/STMicroelectronics-STM32F072CBT6/C81720,1.3005,,1.3005
16,"C12,C9,C13",Capacitor_0402,3,1uF,https://jlcpcb.com/partdetail/15869-CL05B103KB5NNNC/C15195,0.0014,,0.0042
17,"C11,C6",Capacitor_0402,2,4.7uF,https://jlcpcb.com/partdetail/24469-CL05A475MP5NRNC/C23733,0.0046,,0.0092
18,U4,Voltage_SOT-23,1,XC6206,https://jlcpcb.com/partdetail/TorexSemicon-XC6206P332MRG/C5446,0.0998,,0.0998
19,R5,Resistor_0402,1,10k,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905,0.0005,,0.0005
20,F1,Fuse_0603,1,500mA,https://jlcpcb.com/partdetail/Hongda-2009T500mA250V/C529783,0.0551,,0.0551
21,SW343,Button_TL3342,1,SW_Push,https://jlcpcb.com/partdetail/Alpsalpine-SKQGABE010/C115351,0.0005,,0.0005
,,,,,,,,
,,,,,,,,
TOTAL IN USD,,,,,,,,30.8959
PCB 5 pics,,,,,,,,50
,,,,,,,,80.8959
